# column 0 is pixels, column 1 is signal
4.950000000000000000e+02,2.441406250000000000e-02
4.960000000000000000e+02,1.725260416666666435e-02
4.970000000000000000e+02,2.343750000000000000e-02
4.980000000000000000e+02,2.050781250000000000e-02
4.990000000000000000e+02,1.139322916666666609e-02
5.000000000000000000e+02,1.497395833333333565e-02
5.010000000000000000e+02,1.236979166666666782e-02
5.020000000000000000e+02,1.041666666666666609e-02
5.030000000000000000e+02,1.106770833333333391e-02
5.040000000000000000e+02,1.009114583333333391e-02
5.050000000000000000e+02,7.486979166666666956e-03
5.060000000000000000e+02,1.562499999999999827e-02
5.070000000000000000e+02,2.278645833333333218e-02
5.080000000000000000e+02,1.302083333333333391e-02
5.090000000000000000e+02,1.269531250000000173e-02
5.100000000000000000e+02,1.009114583333333391e-02
5.110000000000000000e+02,1.139322916666666782e-02
5.120000000000000000e+02,1.725260416666666782e-02
5.130000000000000000e+02,1.790364583333333218e-02
5.140000000000000000e+02,2.962239583333333565e-02
5.150000000000000000e+02,3.743489583333332871e-02
5.160000000000000000e+02,1.562500000000000000e-02
5.170000000000000000e+02,2.018229166666666435e-02
5.180000000000000000e+02,1.529947916666666609e-02
5.190000000000000000e+02,1.529947916666666782e-02
5.200000000000000000e+02,4.882812500000000000e-03
5.210000000000000000e+02,6.510416666666666305e-04
5.220000000000000000e+02,1.464843750000000000e-02
5.230000000000000000e+02,1.367187499999999827e-02
5.240000000000000000e+02,1.562500000000000000e-02
5.250000000000000000e+02,3.580729166666666956e-03
5.260000000000000000e+02,1.660156250000000000e-02
5.270000000000000000e+02,2.278645833333333565e-02
5.280000000000000000e+02,1.562500000000000000e-02
5.290000000000000000e+02,3.255208333333333153e-04
5.300000000000000000e+02,1.204427083333333391e-02
5.310000000000000000e+02,1.139322916666666782e-02
5.320000000000000000e+02,1.171875000000000000e-02
5.330000000000000000e+02,9.765625000000000000e-03
5.340000000000000000e+02,2.929687500000000000e-03
5.350000000000000000e+02,3.255208333333333153e-04
5.360000000000000000e+02,6.510416666666666088e-03
5.370000000000000000e+02,6.510416666666666088e-03
5.380000000000000000e+02,2.083333333333333565e-02
5.390000000000000000e+02,1.302083333333333218e-02
5.400000000000000000e+02,1.302083333333333391e-02
5.410000000000000000e+02,2.018229166666666435e-02
5.420000000000000000e+02,1.334635416666666782e-02
5.430000000000000000e+02,7.812499999999999133e-03
5.440000000000000000e+02,1.757812500000000000e-02
5.450000000000000000e+02,1.595052083333333218e-02
5.460000000000000000e+02,8.789062500000000000e-03
5.470000000000000000e+02,5.533854166666666088e-03
5.480000000000000000e+02,1.139322916666666782e-02
5.490000000000000000e+02,1.302083333333333218e-02
5.500000000000000000e+02,1.106770833333333391e-02
5.510000000000000000e+02,2.604166666666666956e-03
5.520000000000000000e+02,9.765625000000000000e-04
5.530000000000000000e+02,8.463541666666667823e-03
